# p   tau(s)   error(s)
  1 1.124467e-05 3.662156e-08
  2 6.182684e-06 2.153841e-08
  3 6.690195e-06 2.464447e-08
  4 7.005830e-06 2.892430e-08
  5 6.592678e-06 2.495210e-08
  6 6.594344e-06 2.447295e-08
  7 6.582046e-06 2.647447e-08
  8 7.053575e-06 2.716717e-08
  9 6.855320e-06 2.630065e-08
 10 6.599332e-06 2.547278e-08
 11 6.767516e-06 2.543199e-08
 12 6.947331e-06 2.659370e-08
 13 6.751778e-06 2.573275e-08
 14 6.635660e-06 2.571008e-08
 15 6.597924e-06 2.495397e-08
 16 6.739424e-06 2.522897e-08
 17 6.606265e-06 2.503813e-08
 18 6.704981e-06 2.588556e-08
 19 6.785220e-06 2.565425e-08
 20 6.934516e-06 2.688523e-08
 21 6.790436e-06 2.586557e-08
 22 6.721981e-06 2.582908e-08
 23 6.832553e-06 2.570907e-08
 24 6.881242e-06 2.588242e-08
 25 6.923478e-06 2.664982e-08
 26 6.830578e-06 2.567632e-08
 27 6.755182e-06 2.518755e-08
 28 6.675364e-06 2.472773e-08
 29 6.755123e-06 2.576277e-08
 30 6.845332e-06 2.612418e-08
 31 6.677712e-06 2.521485e-08
 32 6.627208e-06 2.513123e-08
 33 6.736667e-06 2.537938e-08
 34 6.909168e-06 2.618163e-08
 35 6.804742e-06 2.604658e-08
 36 6.788783e-06 2.525108e-08
 37 6.779357e-06 2.542553e-08
 38 6.732689e-06 2.510136e-08
 39 6.708993e-06 2.524899e-08
 40 6.760766e-06 2.631381e-08
 41 6.822341e-06 2.562069e-08
 42 6.804789e-06 2.574764e-08
 43 6.764084e-06 2.581587e-08
 44 6.772028e-06 2.565547e-08
 45 6.773973e-06 2.617112e-08
 46 6.855711e-06 2.583816e-08
 47 6.761829e-06 2.631968e-08
 48 6.854819e-06 2.607756e-08
 49 6.871292e-06 2.660883e-08
 50 6.765737e-06 2.582999e-08
 51 6.804992e-06 2.582697e-08
 52 6.818832e-06 2.594864e-08
 53 6.789234e-06 2.579513e-08
 54 6.761922e-06 2.543280e-08
 55 6.753318e-06 2.553120e-08
 56 6.910966e-06 2.653191e-08
 57 6.766507e-06 2.590584e-08
 58 6.750324e-06 2.544409e-08
 59 6.824614e-06 2.530048e-08
 60 6.712609e-06 2.558411e-08
 61 6.882997e-06 2.618050e-08
 62 6.834376e-06 2.604312e-08
 63 6.735357e-06 2.602928e-08
 64 6.797150e-06 2.592524e-08
 65 6.649399e-06 2.556770e-08
 66 6.846889e-06 2.613524e-08
 67 6.718265e-06 2.530363e-08
 68 6.816838e-06 2.557696e-08
 69 6.708152e-06 2.494039e-08
 70 6.688818e-06 2.570824e-08
 71 6.692604e-06 2.552344e-08
 72 6.882523e-06 2.617390e-08
 73 6.751664e-06 2.557534e-08
 74 6.802689e-06 2.540925e-08
 75 6.695747e-06 2.590203e-08
 76 6.695666e-06 2.511554e-08
 77 6.824588e-06 2.573983e-08
 78 6.724450e-06 2.506125e-08
 79 6.654343e-06 2.525740e-08
